CNUM,F,FID,FDAY,FMON,FYEAR,FHOUR,FMIN,P,PID,PYEAR,PMON,PDAY,PHOUR,PMIN,PRICE
1,08,13573,20,06,15,11,36,25,16238,1220,06,15,13,11,8
2,09,08173,20,06,15,11,42,25,16205,1220,06,15,12,36,0
3,09,08111,20,06,15,11,15,25,16206,1220,06,15,12,39,8
4,09,07949,20,06,15,09,44,25,16209,1220,06,15,12,46,8
5,08,13312,20,06,15,08,36,25,16216,1220,06,15,12,50,8
6,09,08216,20,06,15,12,08,25,16217,1220,06,15,12,52,0
7,09,08210,20,06,15,12,04,25,16219,1220,06,15,12,54,0
8,09,07995,20,06,15,10,11,25,16222,1220,06,15,12,58,8
9,09,08336,20,06,15,13,10,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
10,08,13709,20,06,15,12,54,25,16270,1220,06,15,13,40,0
11,08,13653,20,06,15,12,24,25,16256,1220,06,15,13,30,0
12,09,08199,20,06,15,11,57,25,16255,1220,06,15,13,29,8
13,09,07825,20,06,15,07,11,25,16247,1220,06,15,13,19,9
14,09,08185,20,06,15,11,51,25,16240,1220,06,15,13,12,8
15,09,08177,20,06,15,11,43,25,16178,1220,06,15,12,18,0
16,09,07978,20,06,15,09,59,25,16179,1220,06,15,12,19,8
17,09,07997,20,06,15,10,11,25,16194,1220,06,15,12,28,8
18,09,08215,20,06,15,12,08,25,16201,1220,06,15,12,33,0
19,08,13646,20,06,15,12,18,25,16233,1220,06,15,13,08,0
20,08,13422,20,06,15,10,00,25,16236,1220,06,15,13,09,8
21,08,13585,20,06,15,11,41,25,16233,1220,06,15,13,08,8
22,08,13632,20,06,15,12,07,25,16233,1220,06,15,13,08,0
23,08,13567,20,06,15,11,32,25,16231,1220,06,15,13,07,8
24,08,13658,20,06,15,12,25,25,16228,1220,06,15,13,06,0
25,08,13527,20,06,15,11,02,25,16229,1220,06,15,13,06,8
26,08,13641,20,06,15,12,14,25,16227,1220,06,15,13,05,0
27,08,13559,20,06,15,11,24,25,16227,1220,06,15,13,04,8
28,08,13643,20,06,15,12,16,25,16225,1220,06,15,13,02,0
29,09,07878,20,06,15,08,54,25,16070,1220,06,15,09,31,0
30,09,08144,20,06,15,11,29,25,16178,1220,06,15,12,17,0
31,09,08155,20,06,15,11,34,25,16176,1220,06,15,12,14,0
32,09,08059,20,06,15,10,48,25,16174,1220,06,15,12,10,8
33,09,07938,20,06,15,09,39,25,16080,1220,06,15,10,09,0
34,09,07848,20,06,15,08,13,25,16085,1220,06,15,10,22,8
35,09,08034,20,06,15,10,34,25,16146,1220,06,15,11,42,0
36,09,07951,20,06,15,09,45,25,16130,1220,06,15,11,25,8
37,09,08104,20,06,15,11,11,25,16149,1220,06,15,11,46,0
38,09,08219,20,06,15,12,11,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
39,08,13767,20,06,15,13,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
40,09,08365,20,06,15,13,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
41,09,08348,20,06,15,13,14,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
42,09,06263,17,06,15,23,16,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
43,09,08306,20,06,15,12,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
44,09,05568,16,06,15,16,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
45,09,08287,20,06,15,12,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
46,09,08218,20,06,15,12,09,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
47,08,13695,20,06,15,12,48,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
48,09,08208,20,06,15,12,01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
49,09,08270,20,06,15,12,36,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
50,09,08264,20,06,15,12,33,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
51,09,08278,20,06,15,12,41,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
52,08,13645,20,06,15,12,17,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53,09,08256,20,06,15,12,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
54,09,08283,20,06,15,12,43,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
55,09,08227,20,06,15,12,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
56,08,13656,20,06,15,12,24,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
57,09,08244,20,06,15,12,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
58,09,07839,20,06,15,07,56,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
59,09,07829,20,06,15,07,30,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
60,09,07843,20,06,15,08,01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
61,09,07860,20,06,15,08,36,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
62,09,07858,20,06,15,08,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
63,09,07870,20,06,15,08,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
64,09,07879,20,06,15,08,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
65,09,07867,20,06,15,08,43,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
66,09,07883,20,06,15,08,57,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
67,09,07882,20,06,15,08,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
68,09,07914,20,06,15,09,26,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
69,09,07931,20,06,15,09,35,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
70,09,07906,20,06,15,09,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
71,09,07967,20,06,15,09,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
72,09,07926,20,06,15,09,31,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
73,09,07939,20,06,15,09,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
74,09,07928,20,06,15,09,32,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
75,09,07941,20,06,15,09,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
76,09,07973,20,06,15,09,57,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
77,09,07917,20,06,15,09,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
78,09,07922,20,06,15,09,30,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
79,09,07908,20,06,15,09,21,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
80,09,07895,20,06,15,09,06,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
81,09,07915,20,06,15,09,27,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
82,09,07956,20,06,15,09,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
83,09,07910,20,06,15,09,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
84,09,07905,20,06,15,09,17,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
85,09,07996,20,06,15,10,11,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
86,09,08004,20,06,15,10,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
87,09,08027,20,06,15,10,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
88,09,08069,20,06,15,10,51,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
89,09,08078,20,06,15,10,57,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
90,09,07999,20,06,15,10,11,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
91,09,08068,20,06,15,10,51,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
92,08,13516,20,06,15,10,57,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
93,09,08073,20,06,15,10,54,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
94,09,08061,20,06,15,10,48,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
95,09,08056,20,06,15,10,47,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
96,09,07985,20,06,15,10,03,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
97,09,08042,20,06,15,10,38,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
98,09,08079,20,06,15,10,57,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
99,09,08040,20,06,15,10,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
100,09,08035,20,06,15,10,34,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
101,09,08019,20,06,15,10,24,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
102,09,08039,20,06,15,10,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
103,09,08016,20,06,15,10,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
104,09,08009,20,06,15,10,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
105,09,08075,20,06,15,10,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
106,09,08094,20,06,15,11,05,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
107,09,08171,20,06,15,11,41,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
108,09,08086,20,06,15,11,01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
109,09,08146,20,06,15,11,30,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
110,09,08182,20,06,15,11,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
111,09,08197,20,06,15,11,56,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
112,09,08203,20,06,15,11,58,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
113,09,05501,16,06,15,14,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
114,09,08195,20,06,15,11,56,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
115,08,13578,20,06,15,11,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
116,09,08189,20,06,15,11,53,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
117,09,08092,20,06,15,11,04,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
118,09,08148,20,06,15,11,31,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
119,09,08137,20,06,15,11,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
120,09,08087,20,06,15,11,01,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
121,09,08127,20,06,15,11,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
122,09,08160,20,06,15,11,35,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
123,09,08124,20,06,15,11,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
124,09,08088,20,06,15,11,02,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
125,09,08093,20,06,15,11,04,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
126,09,07946,20,06,15,09,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
127,09,07904,20,06,15,09,15,25,16080,1220,06,15,10,10,0
128,09,07987,20,06,15,10,04,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
129,09,08048,20,06,15,10,41,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
130,09,08026,20,06,15,10,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
131,09,07903,20,06,15,09,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
132,09,07852,20,06,15,08,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
133,09,08204,20,06,15,11,58,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
134,09,08209,20,06,15,12,02,25,16268,1220,06,15,13,37,8
135,09,08300,20,06,15,12,52,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
136,09,08060,20,06,15,10,48,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
137,09,08296,20,06,15,12,51,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
138,09,08024,20,06,15,10,27,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
139,09,08241,20,06,15,12,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
140,09,08143,20,06,15,11,29,25,16178,1220,06,15,12,17,0
141,09,08033,20,06,15,10,33,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
